Chemical,Label
NCGC00261900-01,0.012359
NCGC00260869-01,0.357130
NCGC00261776-01,0.384066
NCGC00261842-01,0.014376
NCGC00261662-01,0.347052
NCGC00261926-01,0.309225
NCGC00260921-01,0.233235
NCGC00261119-01,0.097273
NCGC00260831-01,0.271098
NCGC00261544-01,0.017994
NCGC00261633-01,0.002318
NCGC00261395-01,0.360375
NCGC00261717-01,0.002876
NCGC00261424-01,0.041416
NCGC00261861-01,0.120958
NCGC00261924-01,0.075847
NCGC00261052-01,0.074304
NCGC00261683-01,0.390054
NCGC00261026-01,0.086866
NCGC00261057-01,0.116752
NCGC00261738-01,0.261747
NCGC00261348-01,0.021045
NCGC00261503-01,0.038602
NCGC00260693-01,0.013167
NCGC00260703-01,0.040688
NCGC00260716-01,0.026247
NCGC00260782-01,0.016867
NCGC00260802-01,0.017042
NCGC00260823-01,0.022849
NCGC00261313-01,0.002194
NCGC00260757-01,0.027489
NCGC00260826-01,0.033596
NCGC00261005-01,0.053118
NCGC00260980-01,0.050817
NCGC00261816-01,0.009705
NCGC00260698-01,0.013153
NCGC00260889-01,0.112024
NCGC00260811-01,0.026018
NCGC00261165-01,0.036862
NCGC00261060-01,0.008938
NCGC00261541-01,0.022219
NCGC00261649-01,0.008311
NCGC00261110-01,0.141410
NCGC00261130-01,0.102073
NCGC00260846-01,0.110152
NCGC00261030-01,0.189805
NCGC00261162-01,0.242720
NCGC00261058-01,0.288651
NCGC00261404-01,0.117425
NCGC00261423-01,0.147625
NCGC00261856-01,0.380962
NCGC00261342-01,0.032903
NCGC00261935-01,0.193177
NCGC00261069-01,0.177714
NCGC00261101-01,0.308370
NCGC00261183-01,0.007859
NCGC00261716-01,0.002544
NCGC00260742-01,0.006041
NCGC00261529-01,0.050112
NCGC00261170-01,0.220706
NCGC00261565-01,0.310509
NCGC00260990-01,0.575636
NCGC00261340-01,0.240226
NCGC00261079-01,0.141854
NCGC00261389-01,0.055580
NCGC00261744-01,0.006442
NCGC00261420-01,0.223386
NCGC00261215-01,0.018776
NCGC00261826-01,0.118189
NCGC00260706-01,0.092837
NCGC00261123-01,0.125088
NCGC00261367-01,0.062330
NCGC00261507-01,0.123604
NCGC00261169-01,0.008740
NCGC00261730-01,0.230162
NCGC00261624-01,0.096212
NCGC00261641-01,0.086272
NCGC00261853-01,0.257664
NCGC00260911-01,0.021091
NCGC00260798-01,0.035434
NCGC00261384-01,0.389999
NCGC00260785-01,0.058839
NCGC00261597-01,0.116610
NCGC00261025-01,0.043916
NCGC00260789-01,0.415919
NCGC00260866-01,0.672528
NCGC00261189-01,0.017689
NCGC00261270-01,0.403085
NCGC00261611-01,0.050304
NCGC00261160-01,0.015748
NCGC00261085-01,0.014389
NCGC00261817-01,0.328691
NCGC00261866-01,0.135108
NCGC00260852-01,0.327891
NCGC00261290-01,0.213455
NCGC00261304-01,0.036293
NCGC00261704-01,0.398684
NCGC00260850-01,0.067361
NCGC00260972-01,0.109812
NCGC00261364-01,0.028488
NCGC00261392-01,0.389506
NCGC00261638-01,0.161104
NCGC00261820-01,0.174852
NCGC00261808-01,0.213732
NCGC00260790-01,0.343412
NCGC00260940-01,0.524737
NCGC00261081-01,0.168901
NCGC00261133-01,0.680537
NCGC00261399-01,0.284428
NCGC00260696-01,0.275904
NCGC00261903-01,0.083245
NCGC00261178-01,0.059553
NCGC00261568-01,0.610755
NCGC00260830-01,0.124223
NCGC00261113-01,0.162521
NCGC00261327-01,0.238087
NCGC00261602-01,0.319137
NCGC00260858-01,0.318501
NCGC00261071-01,0.015876
NCGC00261076-01,0.104538
NCGC00261192-01,0.093583
NCGC00261495-01,0.059960
NCGC00261577-01,0.251631
NCGC00261510-01,0.112537
NCGC00261679-01,0.350053
NCGC00261941-01,0.558574
NCGC00261343-01,0.067517
NCGC00261607-01,0.241162
NCGC00261782-01,0.371055
NCGC00261914-01,0.022174
NCGC00261475-01,0.250159
NCGC00261764-01,0.185564
NCGC00261802-01,0.118680
NCGC00260795-01,0.159304
NCGC00261352-01,0.357884
NCGC00261009-01,0.636683
NCGC00261944-01,0.403491
NCGC00261166-01,0.408752
NCGC00261332-01,0.715779
NCGC00261333-01,0.278344
NCGC00261260-01,0.080898
NCGC00261915-01,0.435783
NCGC00261682-01,0.293006
NCGC00261049-01,0.188929
NCGC00260910-01,0.136524
NCGC00261272-01,0.292865
NCGC00260708-01,0.010365
NCGC00261390-01,0.011609
NCGC00260948-01,0.073978
NCGC00261840-01,0.007092
NCGC00260881-01,0.054113
NCGC00261153-01,0.114577
NCGC00261406-01,0.024190
NCGC00261053-01,0.068691
NCGC00261129-01,0.064984
NCGC00261381-01,0.039282
NCGC00261426-01,0.556868
NCGC00260979-01,0.223892
NCGC00260993-01,0.016013
NCGC00261108-01,0.017715
NCGC00261441-01,0.108448
NCGC00261877-01,0.232101
NCGC00260815-01,0.151265
NCGC00261542-01,0.334444
NCGC00261958-01,0.013752
NCGC00261787-01,0.051890
NCGC00261065-01,0.303476
NCGC00261804-01,0.208734
NCGC00260875-01,0.091316
NCGC00261451-01,0.206879
NCGC00261739-01,0.250101
NCGC00261382-01,0.069394
NCGC00261663-01,0.078532
NCGC00260892-01,0.013855
NCGC00261297-01,0.453247
NCGC00261321-01,0.140434
NCGC00261446-01,0.467666
NCGC00261474-01,0.283507
NCGC00260834-01,0.016656
NCGC00260840-01,0.046160
NCGC00260947-01,0.279309
NCGC00261080-01,0.025560
NCGC00261563-01,0.029085
NCGC00261873-01,0.083282
NCGC00260803-01,0.627164
NCGC00260833-01,0.070795
NCGC00261008-01,0.051936
NCGC00261155-01,0.052504
NCGC00261643-01,0.036975
NCGC00261037-01,0.041180
NCGC00261126-01,0.600414
NCGC00260871-01,0.471437
NCGC00260713-01,0.054262
NCGC00261487-01,0.006496
NCGC00261545-01,0.149827
NCGC00261480-01,0.220642
NCGC00261838-01,0.113221
NCGC00261627-01,0.007187
NCGC00261639-01,0.007229
NCGC00261177-01,0.076172
NCGC00260692-01,0.124601
NCGC00260775-01,0.018506
NCGC00260876-01,0.014036
NCGC00261598-01,0.039631
NCGC00260707-01,0.012774
NCGC00261554-01,0.313005
NCGC00261713-01,0.403330
NCGC00261737-01,0.120767
NCGC00261882-01,0.358584
NCGC00261933-01,0.041637
NCGC00261201-01,0.019495
NCGC00261398-01,0.005959
NCGC00261601-01,0.001762
NCGC00261003-01,0.052682
NCGC00261019-01,0.028151
NCGC00261519-01,0.034304
NCGC00261732-01,0.050007
NCGC00261718-01,0.018899
NCGC00260743-01,0.017674
NCGC00260751-01,0.017255
NCGC00260867-01,0.023258
NCGC00260982-01,0.011498
NCGC00261176-01,0.043357
NCGC00261289-01,0.065820
NCGC00261440-01,0.155214
NCGC00261657-01,0.015785
NCGC00260822-01,0.105166
NCGC00261142-01,0.016832
NCGC00261582-01,0.006935
NCGC00261825-01,0.160230
NCGC00261833-01,0.216265
NCGC00261835-01,0.203083
NCGC00261860-01,0.032840
NCGC00261906-01,0.173272
NCGC00261916-01,0.398588
NCGC00261939-01,0.166538
NCGC00261869-01,0.126965
NCGC00261163-01,0.013094
NCGC00261653-01,0.015651
NCGC00261248-01,0.157387
NCGC00260770-01,0.039462
NCGC00261013-01,0.089438
NCGC00261910-01,0.054522
NCGC00261686-01,0.024046
NCGC00261147-01,0.011519
NCGC00261578-01,0.003709
NCGC00261336-01,0.054240
NCGC00261593-01,0.059698
NCGC00260821-01,0.035012
NCGC00261007-01,0.024749
NCGC00261246-01,0.085778
NCGC00261949-01,0.024012
NCGC00260890-01,0.143455
NCGC00261294-01,0.158837
NCGC00261330-01,0.072639
NCGC00261470-01,0.233265
NCGC00260691-01,0.075600
NCGC00261693-01,0.174163
NCGC00261293-01,0.006575
NCGC00261018-01,0.023243
NCGC00261075-01,0.132128
NCGC00261150-01,0.042006
NCGC00261767-01,0.027837
NCGC00261824-01,0.061960
NCGC00261146-01,0.040420
NCGC00260817-01,0.101018
NCGC00261161-01,0.097144
NCGC00260728-01,0.044322
NCGC00261286-01,0.409925
NCGC00261254-01,0.018582
NCGC00261261-01,0.065112
NCGC00261691-01,0.052088
NCGC00261921-01,0.030217
NCGC00260962-01,0.033718
NCGC00261028-01,0.383470
NCGC00261349-01,0.180430
NCGC00261583-01,0.206852
NCGC00261672-01,0.181608
NCGC00261620-01,0.412154
NCGC00261141-01,0.116387
NCGC00261752-01,0.102724
NCGC00261828-01,0.352580
NCGC00261913-01,0.020875
NCGC00261473-01,0.151000
NCGC00356953-01,0.042733
NCGC00357009-01,0.021740
NCGC00357188-01,0.073743
NCGC00357201-01,0.128825
NCGC00357189-01,0.004489
NCGC00357163-01,0.015030
NCGC00357001-01,0.008763
NCGC00357030-01,0.103466
NCGC00357123-01,0.104278
NCGC00357004-01,0.074192
NCGC00357103-01,0.045945
NCGC00357289-01,0.300078
NCGC00357082-01,0.442040
NCGC00356999-01,0.096829
NCGC00357116-01,0.196213
NCGC00357010-01,0.335899
NCGC00357171-01,0.014873
NCGC00356964-01,0.137602
NCGC00356995-01,0.047212
NCGC00357062-01,0.165923
NCGC00357205-01,0.187110
NCGC00357185-01,0.137773
NCGC00357028-01,0.157674
NCGC00357064-01,0.032769
NCGC00357196-01,0.253997
NCGC00357271-01,0.280870
NCGC00357198-01,0.009934
NCGC00357079-01,0.020194
NCGC00356984-01,0.063847
NCGC00357080-01,0.030772
NCGC00357173-01,0.056034
NCGC00357277-01,0.091320
NCGC00357240-01,0.012255
NCGC00357145-01,0.039621
NCGC00357157-01,0.022955
NCGC00357160-01,0.014996
NCGC00357107-01,0.018297
NCGC00357106-01,0.002063
NCGC00357047-01,0.006049
NCGC00357174-01,0.007740
NCGC00357090-01,0.006289
NCGC00357204-01,0.035495
NCGC00357214-01,0.032055
NCGC00357124-01,0.022862
NCGC00356983-01,0.095321
NCGC00357092-01,0.024126
NCGC00357042-01,0.030003
NCGC00357036-01,0.007701
NCGC00357089-01,0.031467
NCGC00357170-01,0.006609
NCGC00357132-01,0.034757
NCGC00357265-01,0.029921
NCGC00357260-01,0.018514
NCGC00357023-01,0.039970
NCGC00357114-01,0.056064
NCGC00357033-01,0.022409
NCGC00357120-01,0.049662
NCGC00356963-01,0.045652
NCGC00357055-01,0.401319
NCGC00357139-01,0.110683
NCGC00357026-01,0.027155
NCGC00357242-01,0.185460
NCGC00357161-01,0.073419
NCGC00357279-01,0.027290
NCGC00357288-01,0.155626
NCGC00356973-01,0.030754
NCGC00357143-01,0.058790
NCGC00357182-01,0.027703
NCGC00356971-01,0.009412
NCGC00357084-01,0.007948
NCGC00357112-01,0.004395
NCGC00356962-01,0.099587
NCGC00356993-01,0.074376
NCGC00357284-01,0.199778
NCGC00357046-01,0.078628
NCGC00357000-01,0.110636
NCGC00357012-01,0.105849
NCGC00356939-01,0.143185
NCGC00356955-01,0.010111
NCGC00357262-01,0.017493
NCGC00356991-01,0.069794
NCGC00357203-01,0.042816
NCGC00357049-01,0.015369
NCGC00357164-01,0.019953
NCGC00357073-01,0.029091
NCGC00357043-01,0.024475
NCGC00357269-01,0.026688
NCGC00357266-01,0.085308
NCGC00357076-01,0.049853
NCGC00357153-01,0.088036
NCGC00357138-01,0.043312
NCGC00357071-01,0.016801
NCGC00357274-01,0.042889
NCGC00356981-01,0.081296
NCGC00357278-01,0.035621
NCGC00357113-01,0.056912
NCGC00357218-01,0.130276
NCGC00357048-01,0.031104
NCGC00357162-01,0.029290
NCGC00356941-01,0.022172
